Rank,University,Faculty Count,Publication Count
1,Univ. of Illinois at Urbana-Champaign,23,44.5
2,University of Michigan,23,42.5
3,Georgia Institute of Technology,15,26.5
4,Massachusetts Institute of Technology,13,26.3
5,Pennsylvania State University,16,21.7
6,University of Wisconsin - Madison,13,19.6
7,Purdue University,12,19.5
8,Carnegie Mellon University,17,17.7
9,Princeton University,8,17.6
10,North Carolina State University,10,16.3
11,Univ. of California - San Diego,15,16.0
12,University of Chicago,9,15.7
13,Univ. of California - Riverside,9,15.6
14,Stanford University,15,14.8
15,Cornell University,11,13.7
16,Univ. of California - Santa Barbara,6,13.3
17,University of Virginia,7,12.8
18,Yale University,9,12.6
19,University of Rochester,8,10.3
19,University of Washington,10,10.3
21,University of Pennsylvania,7,10.2
22,University of Texas at Austin,9,9.9
23,Virginia Tech,8,8.5
24,Texas A&M University,6,8.4
25,University of Utah,10,8.3
26,Duke University,8,8.2
27,Columbia University,10,8.1
28,Univ. of California - Santa Cruz,9,7.9
29,Univ. of California - Los Angeles,7,7.8
30,University of Central Florida,8,7.6
