Rank,University,Faculty Count,Publication Count
1,HKUST,16,42.9
2,National University of Singapore,20,40.1
3,Tsinghua University,25,39.8
4,Chinese University of Hong Kong,11,37.5
5,TU Munich,8,36.7
6,University of Waterloo,21,30.9
7,Univ. of California - Berkeley,19,26.8
8,University of Chicago,13,25.2
9,Nanyang Technological University,13,23.8
10,UNSW,5,23.7
11,Carnegie Mellon University,22,23.4
12,Duke University,12,23.0
12,Peking University,13,23.0
14,Zhejiang University,23,22.1
15,University of Edinburgh,12,20.8
16,EPFL,11,20.3
17,Massachusetts Institute of Technology,16,20.1
18,Univ. of California - San Diego,15,18.2
19,Cornell University,9,17.8
20,Aalborg University,9,17.6
21,University of Michigan,13,17.4
22,University of Technology Sydney,6,16.4
23,Georgia Institute of Technology,19,15.2
24,Renmin University of China,13,15.1
25,University of Washington,6,15.0
26,Univ. of California - Santa Barbara,9,14.9
27,University of Wisconsin - Madison,13,14.6
28,Hong Kong Baptist University,5,14.5
29,Univ. of California - Irvine,7,14.4
30,Hasso Plattner Institute,4,14.0
