Rank,University,Faculty Count,Publication Count
1,ETH Zurich,5,20.4
2,TU Munich,5,6.8
3,Polytechnic University of Catalonia,5,6.0
4,Queen's University Belfast,2,4.3
5,Ecole Normale Superieure de Lyon,5,3.5
6,University of Edinburgh,2,3.2
7,KTH Royal Institute of Technology,3,2.5
7,University of Murcia,5,2.5
9,Graz University of Technology,2,2.4
9,TU Dresden,3,2.4
9,Uppsala University,3,2.4
12,University of Warwick,4,2.3
13,NTUA,3,2.2
13,University of Mainz,2,2.2
15,Chalmers/GU,1,2.1
15,Tel Aviv University,2,2.1
15,University of Erlangen–Nuremberg,3,2.1
18,TU Darmstadt,1,2.0
18,VU Amsterdam,2,2.0
20,Koç University,1,1.9
20,University of Manchester,2,1.9
22,Max Planck Society,1,1.8
22,TU Delft,2,1.8
22,Technion,2,1.8
22,University of Cambridge,1,1.8
22,University of Copenhagen,1,1.8
22,University of Innsbruck,1,1.8
22,University of Leeds,2,1.8
22,University of Stuttgart,2,1.8
30,RWTH Aachen University,1,1.7
30,Saarland University,2,1.7
30,TU Wien,2,1.7
30,University of Salerno,1,1.7
