Rank,University,Faculty Count,Publication Count
1,ETH Zurich,23,8.1
2,University College London,28,6.4
3,TU Munich,30,6.1
4,Max Planck Society,14,5.2
5,Tel Aviv University,16,4.9
6,University of Edinburgh,21,4.6
7,University of Bonn,11,3.9
8,TU Delft,30,3.6
9,Karlsruhe Institute of Technology,14,3.4
10,Aalto University,17,3.3
10,TU Berlin,9,3.3
12,Graz University of Technology,16,3.2
12,RWTH Aachen University,8,3.2
14,EPFL,9,3.1
14,University of Oxford,21,3.1
16,Aarhus University,11,3.0
17,CRIStAL,14,2.9
17,Saarland University,10,2.9
17,Technion,21,2.9
17,Universidade de Lisboa,22,2.9
21,University of Bristol,20,2.8
22,TU Darmstadt,9,2.7
22,TU Wien,14,2.7
22,University of Bath,13,2.7
22,University of Bremen,9,2.7
22,University of Cambridge,13,2.7
22,University of Glasgow,16,2.7
28,Sapienza University of Rome,13,2.6
28,University of Stuttgart,8,2.6
28,University of Tübingen,14,2.6
28,University of Zurich,8,2.6
