Rank,University,Faculty Count,Publication Count
1,Massachusetts Institute of Technology,15,17.2
2,Univ. of California - Berkeley,14,11.5
3,Carnegie Mellon University,19,10.2
4,University of Wisconsin - Madison,8,9.1
5,University of Washington,8,8.0
6,Columbia University,9,7.9
7,University of Texas at Austin,7,7.3
8,University of Michigan,7,6.7
9,New York University,5,5.3
9,University of Pennsylvania,7,5.3
11,Univ. of Illinois at Urbana-Champaign,8,4.9
12,Georgia Institute of Technology,5,4.8
13,Univ. of California - San Diego,12,4.7
13,University of Chicago,5,4.7
15,Cornell University,7,4.3
15,Princeton University,3,4.3
17,Stanford University,6,4.2
18,Purdue University,7,4.1
19,Pennsylvania State University,8,3.7
20,Stony Brook University,4,3.3
21,Univ. of California - Los Angeles,5,3.0
22,Harvard University,4,2.9
23,Univ. of California - Santa Barbara,4,2.6
23,Yale University,6,2.6
25,Univ. of California - Santa Cruz,3,2.3
25,University of Southern California,2,2.3
25,Virginia Tech,3,2.3
28,Brown University,3,2.1
28,University of Utah,2,2.1
30,Northeastern University,3,2.0
30,Ohio State University,3,2.0
30,University of Massachusetts Amherst,2,2.0
