name,affiliation,homepage,scholarid,System,AI,Theory,Interdisciplinary,Citations
A. J. Field,Imperial College London,http://wp.doc.ic.ac.uk/ajf,rn3Lg2wAAAAJ,False,False,False,False,4323
A. J. H. Hidders,Birkbeck University of London,https://www.dcs.bbk.ac.uk/about/people/academic-staff/hidders-jan,EHD4dXkAAAAJ,False,False,False,False,2210
A. J. Jansen,CWI,http://homepages.cwi.nl/~jack,qHiBTg0AAAAJ,False,False,False,False,0
A. J. Kfoury,Boston University,http://www.cs.bu.edu/~kfoury,VpdYemsAAAAJ,False,False,False,False,2582
A. J. Ko 0001,University of Washington,http://faculty.washington.edu/ajko,otmdDLoAAAAJ,False,False,False,False,11337
A. Jefferson Offutt,George Mason University,http://cs.gmu.edu/~offutt,fAeRp3kAAAAJ,False,False,False,False,24236
A. John Power,University of Bath,http://www.bath.ac.uk/comp-sci/contacts/academics/john_power,mCvZPDn8heUC,False,False,False,False,23750
A. K. McIver,Macquarie University,https://researchers.mq.edu.au/en/persons/annabelle-mciver,9fvUO9QAAAAJ,False,False,False,False,4119
A. M. A. Hemmatyar,Sharif University of Technology,http://sharif.edu/~hemmatyar,NOSCHOLARPAGE,False,False,False,False,331
A. Min Tjoa,TU Wien,http://www.ifs.tuwien.ac.at/tjoa,x8qCMhcAAAAJ,False,False,False,False,6637
A. Murat Ozbayoglu,TOBB ETÜ,http://mozbayoglu.etu.edu.tr,rNLLqKoAAAAJ,False,False,False,False,4505
A. Murat Özbayoglu,TOBB ETÜ,http://mozbayoglu.etu.edu.tr,rNLLqKoAAAAJ,False,False,False,False,4505
A. Neil Arnason,University of Manitoba,http://www.cs.umanitoba.ca/~arnason,NOSCHOLARPAGE,False,False,False,False,0
A. P. Sarath Chandar,Polytechnique Montreal,http://sarathchandar.in,yxWtZLAAAAAJ,False,False,False,False,4093
A. P. Vinod 0001,Nanyang Technological University,http://www.ntu.edu.sg/home/asvinod,NOSCHOLARPAGE,False,False,False,False,0
A. P. Willem Böhm,Colorado State University,http://www.cs.colostate.edu/~bohm,NOSCHOLARPAGE,False,False,False,False,0
A. P. Wim Böhm,Colorado State University,http://www.cs.colostate.edu/~bohm,NOSCHOLARPAGE,False,False,False,False,0
A. Pavan 0001,Iowa State University,http://www.cs.iastate.edu/people/pavan-aduri,4QIV0FUAAAAJ,False,False,False,False,1127
A. Prasad Sistla,University of Illinois at Chicago,https://www.cs.uic.edu/Sistla,NOSCHOLARPAGE,False,False,False,False,18374
A. Prasad Vinod,Nanyang Technological University,http://www.ntu.edu.sg/home/asvinod,NOSCHOLARPAGE,False,False,False,False,5104
A. Prasad Vinod 0001,Nanyang Technological University,http://www.ntu.edu.sg/home/asvinod,NOSCHOLARPAGE,False,False,False,False,0
A. Rau-Chaplin,Dalhousie University,https://www.cs.dal.ca/~arc,NOSCHOLARPAGE,False,False,False,False,2386
A. Robert Calderbank,Duke University,https://ece.duke.edu/faculty/robert-calderbank,NOSCHOLARPAGE,False,False,False,False,0
A. Rupam Mahmood,University of Alberta,https://armahmood.github.io,YwB8XM4AAAAJ,False,True,False,False,1279
A. S. M. Hoque,BUET,https://cse.buet.ac.bd/faculty_list/detail/asmlatifulhoque,3-Sb7tMAAAAJ,False,False,False,False,925
A. S. M. Latiful Hoque,BUET,https://cse.buet.ac.bd/faculty_list/detail/asmlatifulhoque,3-Sb7tMAAAAJ,False,False,False,False,925
A. S. Madhukumar,Nanyang Technological University,http://www3.ntu.edu.sg/home/asmadhukumar,mF-F-zkAAAAJ,False,False,False,False,0
A. S. Nemirovskii 0001,Georgia Institute of Technology,https://www.isye.gatech.edu/users/arkadi-nemirovski,3QxoymwAAAAJ,False,False,False,False,61178
A. Selcuk Uluagac,Florida International University,http://nweb.eng.fiu.edu/selcuk,tcK62uAAAAAJ,False,False,False,False,7844
A. Sima Etaner-Uyar,Istanbul Technical University,http://akademi.itu.edu.tr/en/etaner,qvxemZwAAAAJ,False,False,False,False,1468
A. T. Burrell,Oklahoma State University,https://cs.okstate.edu/~tburrell,NOSCHOLARPAGE,False,False,False,False,487
A. T. Chamillard,UCCS,http://www.uccs.edu/cs/about/faculty/tim-chamillard.html,NOSCHOLARPAGE,False,False,False,False,0
A. Taylan Cemgil,Boğaziçi University,https://www.cmpe.boun.edu.tr/~cemgil,X3ZFZ7AAAAAJ,False,False,False,False,5748
A. Th. Schreiber,VU Amsterdam,http://www.cs.vu.nl/~guus,lRZKdMYAAAAJ,False,False,False,False,19079
A. Udaya Shankar,University of Maryland - College Park,https://www.cs.umd.edu/users/shankar,NOSCHOLARPAGE,False,True,False,False,62
A. V. Sreejith,IIT Goa,https://www.iitgoa.ac.in/~sreejithav,6LVNqAMAAAAJ,False,False,False,False,51
A. V. Subramanyam,IIIT Delhi,http://www.iiitd.ac.in/subramanyam,B0Hy8NkAAAAJ,False,False,False,False,1605
A. W. Roscoe 0001,University of Oxford,http://www.cs.ox.ac.uk/bill.roscoe,miixtKcAAAAJ,False,False,False,False,17068
A. William Roscoe,University of Oxford,http://www.cs.ox.ac.uk/bill.roscoe,miixtKcAAAAJ,False,False,False,False,17068
A. Yurdakul,Boğaziçi University,https://www.cmpe.boun.edu.tr/~yurdakul,6UUbTP4AAAAJ,False,False,False,False,1023
Aaditeshwar Seth,IIT Delhi,http://www.cse.iitd.ernet.in/~aseth,XpOIYBoAAAAJ,False,False,False,False,2170
Aamena Al Shamsi,Masdar Institute,https://www.masdar.ac.ae/aboutus/management/faculty-directory/item/6602-aamena-ali-al-shamsi,45uuU3gAAAAJ,False,False,False,False,438
Aamena Alshamsi,Masdar Institute,https://www.masdar.ac.ae/aboutus/management/faculty-directory/item/6602-aamena-ali-al-shamsi,45uuU3gAAAAJ,False,False,False,False,438
Aamir Cheema,Monash University,http://www.aamircheema.com,chWbG70AAAAJ,False,False,False,False,2412
Aanjhan Ranganathan,Northeastern University,https://www.aanjhan.com,Jid_EAkAAAAJ,False,False,False,False,1068
Aapo Hyvärinen,University of Helsinki,https://www.cs.helsinki.fi/u/ahyvarin,UnrY-40AAAAJ,False,False,False,False,66985
Aarne Ranta,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/aarne-ranta.aspx,NOSCHOLARPAGE,False,False,False,False,3548
Aaron Bernstein,Rutgers University,http://bernsteinaaron.com,N94spO0AAAAJ,False,False,False,False,1632
Aaron Bobick,Washington University in St. Louis,https://engineering.wustl.edu/faculty/Aaron-Bobick.html,rynvwScAAAAJ,False,False,False,False,24381
Aaron C. Courville,University of Montreal,https://aaroncourville.wordpress.com,km6CP8cAAAAJ,False,False,False,False,223240
Aaron Chen 0001,Victoria University of Wellington,https://ecs.victoria.ac.nz/Main/AaronChen,YLB6tnwAAAAJ,False,False,False,False,101951
Aaron Clauset,University of Colorado Boulder,https://www.colorado.edu/faculty/clauset,e7VI_HcAAAAJ,False,False,False,False,36350
Aaron D. Striegel,University of Notre Dame,https://engineering.nd.edu/profiles/astriegel,w88NouMAAAAJ,False,False,False,False,3887
Aaron F. Bobick,Washington University in St. Louis,https://engineering.wustl.edu/faculty/Aaron-Bobick.html,rynvwScAAAAJ,False,False,False,False,24381
Aaron Henry Potechin,University of Chicago,http://www.potechin.org/aaronpotechin,z28rttMAAAAJ,False,False,False,False,1009
Aaron J. Elmore,University of Chicago,http://people.cs.uchicago.edu/~aelmore,NOSCHOLARPAGE,False,False,False,False,3071
Aaron Leon Roth,University of Pennsylvania,http://www.cis.upenn.edu/~aaroth,kLUQrrYAAAAJ,False,False,False,False,20456
