rank,institution
1,University of Toronto
2,University of Waterloo
3,McGill University
4,Simon Fraser University
4,Université de Sherbrooke
6,University of Victoria
7,University of British Columbia
8,University of Alberta
9,Carleton University
9,University of Calgary
9,University of Montreal
12,Memorial University of Newfoundland
12,University of Ottawa
12,University of Windsor
15,Concordia University
15,Dalhousie University
15,University of Guelph
15,University of Manitoba
15,Université du Québec à Montréal
15,York University
