rank,institution
1,Massachusetts Institute of Technology
2,Univ. of California - Berkeley
3,Carnegie Mellon University
4,Princeton University
5,University of Washington
6,Stanford University
7,Univ. of California - San Diego
8,Univ. of Illinois at Urbana-Champaign
9,University of Southern California
10,Cornell University
11,Peking University
11,University of Texas at Austin
13,Univ. of California - Los Angeles
14,Tsinghua University
15,ETH Zurich
16,Harvard University
17,University of Michigan
18,EPFL
19,University of Pennsylvania
20,University of Massachusetts Amherst
21,New York University
21,University of Chicago
23,University of Maryland - College Park
24,KAIST
24,Rice University
26,University College London
27,University of Wisconsin - Madison
28,University of Waterloo
28,Yale University
30,Technion
