rank,institution
1,Carnegie Mellon University
2,Massachusetts Institute of Technology
3,University of Wisconsin - Madison
4,Cornell University
5,University of Pennsylvania
6,Univ. of Illinois at Urbana-Champaign
7,Purdue University
8,University of Texas at Austin
9,University of Utah
10,Stanford University
11,Princeton University
12,Univ. of California - San Diego
13,University of Washington
14,Northeastern University
15,Univ. of California - Los Angeles
16,University of Maryland - College Park
17,Indiana University
18,New York University
18,Stevens Institute of Technology
20,Rutgers University
21,Georgia Institute of Technology
21,University of Michigan
23,Pennsylvania State University
24,Univ. of California - Santa Barbara
24,Yale University
26,Harvard University
27,Northwestern University
28,Univ. of California - Berkeley
28,University of Colorado Boulder
30,University of Massachusetts Amherst
30,University of Southern California
