rank,institution
1,ETH Zurich
2,TU Munich
3,Polytechnic University of Catalonia
4,Queen's University Belfast
5,Ecole Normale Superieure de Lyon
6,University of Edinburgh
7,KTH Royal Institute of Technology
7,University of Murcia
9,Graz University of Technology
9,TU Dresden
9,Uppsala University
12,University of Warwick
13,NTUA
13,University of Mainz
15,Chalmers/GU
15,Tel Aviv University
15,University of Erlangen–Nuremberg
18,TU Darmstadt
18,VU Amsterdam
20,Koç University
20,University of Manchester
22,Max Planck Society
22,TU Delft
22,Technion
22,University of Cambridge
22,University of Copenhagen
22,University of Innsbruck
22,University of Leeds
22,University of Stuttgart
30,RWTH Aachen University
30,Saarland University
30,TU Wien
30,University of Salerno
