rank,institution
1,Northeastern University
2,Univ. of California - San Diego
3,Georgia Institute of Technology
4,Carnegie Mellon University
5,University of Massachusetts Amherst
6,Pennsylvania State University
7,Massachusetts Institute of Technology
8,University of Michigan
9,Columbia University
10,Ohio State University
11,Univ. of Illinois at Urbana-Champaign
12,California Institute of Technology
13,Stony Brook University
13,Univ. of California - Riverside
15,University of Southern California
15,University of Wisconsin - Madison
17,University of Chicago
18,University of Maryland - College Park
19,University of Washington
20,Princeton University
21,Northwestern University
22,Purdue University
23,University of Texas at Austin
24,Stanford University
25,Univ. of California - Davis
26,Boston University
27,Duke University
28,Cornell University
28,Johns Hopkins University
30,North Carolina State University
30,Virginia Tech
