rank,institution
1,ETH Zurich
2,Univ. of Illinois at Urbana-Champaign
3,North Carolina State University
4,University of Utah
5,Georgia Institute of Technology
6,Ohio State University
7,Univ. of California - Riverside
8,Shanghai Jiao Tong University
9,Tsinghua University
10,Univ. of California - Merced
11,HUST
12,National Cheng Kung University
13,Rice University
14,University of Chicago
15,Northeastern University
16,Purdue University
17,University of Texas at Arlington
18,TU Munich
19,Indiana University
20,Virginia Tech
21,National University of Singapore
22,Illinois Institute of Technology
22,Polytechnic University of Catalonia
24,University of Minnesota
25,University of Georgia
26,National Chiao Tung University
27,Univ. of California - Berkeley
28,University of Maryland - College Park
29,Northwestern University
29,University of Massachusetts Amherst
29,University of Tennessee
