rank,institution
1,HKUST
2,National University of Singapore
3,Tsinghua University
4,Chinese University of Hong Kong
5,TU Munich
6,University of Waterloo
7,Univ. of California - Berkeley
8,University of Chicago
9,Nanyang Technological University
10,UNSW
11,Carnegie Mellon University
12,Duke University
12,Peking University
14,Zhejiang University
15,University of Edinburgh
16,EPFL
17,Massachusetts Institute of Technology
18,Univ. of California - San Diego
19,Cornell University
20,Aalborg University
21,University of Michigan
22,University of Technology Sydney
23,Georgia Institute of Technology
24,Renmin University of China
25,University of Washington
26,Univ. of California - Santa Barbara
27,University of Wisconsin - Madison
28,Hong Kong Baptist University
29,Univ. of California - Irvine
30,Hasso Plattner Institute
