rank,institution
1,Univ. of Illinois at Urbana-Champaign
2,University of Michigan
3,Georgia Institute of Technology
4,Massachusetts Institute of Technology
5,Pennsylvania State University
6,University of Wisconsin - Madison
7,Purdue University
8,Carnegie Mellon University
9,Princeton University
10,North Carolina State University
11,Univ. of California - San Diego
12,University of Chicago
13,Univ. of California - Riverside
14,Stanford University
15,Cornell University
16,Univ. of California - Santa Barbara
17,University of Virginia
18,Yale University
19,University of Rochester
19,University of Washington
21,University of Pennsylvania
22,University of Texas at Austin
23,Virginia Tech
24,Texas A&M University
25,University of Utah
26,Duke University
27,Columbia University
28,Univ. of California - Santa Cruz
29,Univ. of California - Los Angeles
30,University of Central Florida
