rank,institution
1,Max Planck Society
2,Carnegie Mellon University
3,ETH Zurich
4,Massachusetts Institute of Technology
5,University of Wisconsin - Madison
6,Cornell University
7,University of Pennsylvania
8,Univ. of Illinois at Urbana-Champaign
9,Aarhus University
10,Purdue University
11,Imperial College London
12,University of Texas at Austin
13,University of Cambridge
14,University of Utah
15,Stanford University
16,University of Toronto
17,Princeton University
18,Univ. of California - San Diego
19,National University of Singapore
20,University of Washington
21,Nanjing University
22,University of Edinburgh
23,University of Oxford
24,KAIST
25,Northeastern University
26,Univ. of California - Los Angeles
27,University of Kent
28,Tel Aviv University
28,University of Maryland - College Park
30,Indiana University
