rank,institution
1,Max Planck Society
2,ETH Zurich
3,Aarhus University
4,Imperial College London
5,University of Cambridge
6,University of Edinburgh
7,University of Oxford
8,University of Kent
9,Tel Aviv University
10,IST Austria
11,IMDEA Software Institute
12,KU Leuven
13,Radboud University
13,Technion
15,Chalmers/GU
16,Ecole Normale Superieure
16,Saarland University
16,Uppsala University
19,Ecole Normale Superieure de Lyon
20,IT University of Copenhagen
21,University of Bristol
22,EPFL
23,University of Freiburg
24,TU Delft
25,Royal Holloway University of London
26,Universidade de Lisboa
27,University of Wroclaw
28,University of Birmingham
28,University of Copenhagen
28,University of Strathclyde
