Rank,University,Faculty Count,Publication Count,region,field,abbr,Standardized Faculty Count,Standardized Publication Count,Discrepancy
1,University of Sydney,5,2.8,AUS,the,US,1.0143566090331317,1.9981945963178362,-0.9838379872847045
2,Australian National University,4,2.1,AUS,the,ANU,0.31210972585634833,0.5676689194084762,-0.25555919355212786
2,University of Melbourne,5,2.1,AUS,the,UM,1.0143566090331317,0.5676689194084762,0.44668768962465555
4,University of Technology Sydney,3,1.8,AUS,the,UTS,-0.39013715732043514,-0.045413513552678406,-0.3447236437677567
4,University of Wollongong,5,1.8,AUS,the,UW,1.0143566090331317,-0.045413513552678406,1.05977012258581
6,Monash University,4,1.7,AUS,the,MU-2,0.31210972585634833,-0.24977432453973009,0.5618840503960785
6,UNSW,3,1.7,AUS,the,U,-0.39013715732043514,-0.24977432453973009,-0.14036283278070505
8,Macquarie University,1,1.2,AUS,the,MU,-1.794630923674002,-1.2715783794749875,-0.5230525441990144
8,University of Auckland,2,1.2,AUS,the,UA,-1.0923840404972185,-1.2715783794749875,0.17919433897776904
