Rank,University,Faculty Count,Publication Count
1,ETH Zurich,8,14.9
2,Technion,11,12.0
3,EPFL,13,11.9
4,Uppsala University,4,10.5
5,University of Murcia,6,9.1
6,Polytechnic University of Catalonia,8,7.2
7,University of Edinburgh,7,6.8
8,Tel Aviv University,2,5.3
8,University of Cambridge,9,5.3
10,NTNU,3,4.3
11,Imperial College London,6,3.9
12,VU Amsterdam,4,3.7
13,University of Athens,2,2.9
14,Max Planck Society,5,2.7
15,Universidade de Lisboa,5,2.5
16,TU Delft,3,2.2
17,University of Liverpool,1,2.1
18,NTUA,3,1.9
19,Chalmers/GU,1,1.8
20,KTH Royal Institute of Technology,3,1.7
20,TU Dresden,3,1.7
20,TU Munich,2,1.7
23,Queen's University Belfast,1,1.6
23,Sapienza University of Rome,2,1.6
25,Bilkent University,3,1.5
25,Mälardalen University,1,1.5
25,Saarland University,1,1.5
25,University of Kent,2,1.5
25,University of Stuttgart,1,1.5
25,Università della Svizzera italiana,2,1.5
25,Özyeğin University,1,1.5
