Rank,University,Faculty Count,Publication Count
1,Tsinghua University,47,10.5
2,KAIST,43,6.8
3,Peking University,40,6.4
4,Zhejiang University,44,5.8
5,University of Tokyo,24,5.5
6,HKUST,27,5.2
7,National University of Singapore,21,3.8
7,Seoul National University,15,3.8
9,Chinese University of Hong Kong,12,3.7
10,University of Tsukuba,33,3.6
11,Shanghai Jiao Tong University,33,3.4
12,KAUST,12,3.3
13,Osaka University,15,3.1
14,National Chiao Tung University,15,2.9
15,Chinese Academy of Sciences,19,2.8
15,ShanghaiTech University,19,2.8
15,University of Hong Kong,11,2.8
18,CUHK (SZ),19,2.7
18,Shenzhen University,15,2.7
20,City University of Hong Kong,11,2.6
20,National Taiwan University,12,2.6
22,MBZUAI,9,2.5
23,USTC,16,2.4
24,POSTECH,13,2.3
25,Singapore Management University,19,2.2
25,Yonsei University,8,2.2
27,Fudan University,12,2.1
27,Nanyang Technological University,13,2.1
27,Tokyo Institute of Technology,7,2.1
27,Xi'an Jiaotong University,12,2.1
