Rank,University,Faculty Count,Publication Count
1,University of Waikato,3,4.5
2,Macquarie University,2,1.9
3,University of Sydney,2,1.5
4,Australian National University,1,1.3
5,University of Adelaide,1,1.1
5,University of Queensland,1,1.1
