Rank,University,Faculty Count,Publication Count
1,Massachusetts Institute of Technology,15,26.5
2,Univ. of California - Berkeley,16,21.7
3,Carnegie Mellon University,16,20.3
4,Princeton University,13,20.0
5,University of Washington,8,18.9
6,Stanford University,12,14.8
7,Univ. of California - San Diego,15,13.8
8,Univ. of Illinois at Urbana-Champaign,13,12.3
9,University of Southern California,7,10.6
10,Cornell University,13,10.3
11,Peking University,11,10.2
11,University of Texas at Austin,8,10.2
13,Univ. of California - Los Angeles,8,9.3
14,Tsinghua University,23,9.1
15,ETH Zurich,10,8.8
16,Harvard University,4,8.7
17,University of Michigan,9,7.8
18,EPFL,5,7.7
19,University of Pennsylvania,8,7.6
20,University of Massachusetts Amherst,11,7.2
21,New York University,5,6.8
21,University of Chicago,8,6.8
23,University of Maryland - College Park,5,6.7
24,KAIST,5,5.6
24,Rice University,4,5.6
26,University College London,4,5.5
27,University of Wisconsin - Madison,8,5.4
28,University of Waterloo,7,5.1
28,Yale University,7,5.1
30,Technion,11,5.0
