Rank,University,Faculty Count,Publication Count
1,Tsinghua University,98,86.1
2,Peking University,117,77.4
3,Chinese Academy of Sciences,54,53.9
4,Shanghai Jiao Tong University,110,51.4
5,Zhejiang University,84,45.6
6,Nanyang Technological University,46,40.3
7,KAIST,58,39.5
8,National University of Singapore,49,39.1
9,Nanjing University,69,37.3
10,Harbin Institute of Technology,77,36.0
11,HKUST,41,33.1
11,Renmin University of China,48,33.1
13,MBZUAI,34,31.7
14,Fudan University,56,31.6
15,Chinese University of Hong Kong,36,30.1
16,Singapore Management University,30,22.2
17,Seoul National University,31,19.9
18,USTC,25,17.4
19,Wuhan University,37,16.9
20,Sun Yat-sen University,26,16.7
20,UESTC,57,16.7
22,BUPT,52,16.0
23,University of Tokyo,28,15.5
24,Beihang University,36,14.8
25,CUHK (SZ),31,14.2
26,KAUST,16,11.8
27,National Institute of Informatics,25,11.1
28,University of Hong Kong,16,10.8
29,ShanghaiTech University,17,9.7
30,City University of Hong Kong,29,9.6
30,Xiamen University,25,9.6
