Rank,University,Faculty Count,Publication Count
1,University of Toronto,15,12.9
2,University of Waterloo,22,10.8
3,McGill University,6,3.3
4,Simon Fraser University,4,2.6
4,Université de Sherbrooke,3,2.6
6,University of Victoria,4,2.3
7,University of British Columbia,7,2.2
8,University of Alberta,3,1.6
9,Carleton University,3,1.4
9,University of Calgary,1,1.4
9,University of Montreal,4,1.4
12,Memorial University of Newfoundland,1,1.3
12,University of Ottawa,2,1.3
12,University of Windsor,1,1.3
15,Concordia University,1,1.1
15,Dalhousie University,1,1.1
15,University of Guelph,1,1.1
15,University of Manitoba,1,1.1
15,Université du Québec à Montréal,1,1.1
15,York University,1,1.1
