Rank,University,Faculty Count,Publication Count
1,Univ. of Illinois at Urbana-Champaign,70,13.2
2,Carnegie Mellon University,83,12.9
3,ETH Zurich,24,10.1
4,Univ. of California - San Diego,61,9.9
5,University of Michigan,50,9.5
6,Tsinghua University,72,9.1
7,Massachusetts Institute of Technology,50,8.8
8,Georgia Institute of Technology,68,8.4
9,Univ. of California - Berkeley,50,8.3
10,National University of Singapore,47,7.7
11,Purdue University,44,7.3
11,Shanghai Jiao Tong University,82,7.3
13,Univ. of California - Riverside,36,7.0
13,University of Wisconsin - Madison,42,7.0
15,Peking University,51,6.7
16,KAIST,45,6.5
16,University of Washington,37,6.5
18,Northeastern University,42,6.4
18,University of Chicago,33,6.4
20,University of Texas at Austin,30,6.2
21,Cornell University,39,6.1
22,EPFL,29,5.4
23,Pennsylvania State University,39,5.3
24,Stanford University,32,5.2
24,Univ. of California - Irvine,39,5.2
24,University of Pennsylvania,34,5.2
27,Columbia University,33,5.1
27,North Carolina State University,39,5.1
27,University of Maryland - College Park,35,5.1
30,Princeton University,26,4.9
30,University of Waterloo,48,4.9
