Rank,University,Faculty Count,Publication Count
1,Tsinghua University,135,12.5
2,Peking University,135,8.9
3,National University of Singapore,78,8.3
4,Shanghai Jiao Tong University,156,8.2
5,KAIST,96,7.5
6,Zhejiang University,109,5.7
7,HKUST,54,5.5
8,Chinese Academy of Sciences,76,4.9
8,Seoul National University,52,4.9
10,Chinese University of Hong Kong,45,4.7
11,Nanyang Technological University,59,4.5
12,Nanjing University,102,4.4
13,Fudan University,73,3.3
14,University of Tokyo,53,3.2
15,Singapore Management University,44,3.1
16,Renmin University of China,55,3.0
16,University of Hong Kong,28,3.0
18,USTC,33,2.9
19,City University of Hong Kong,38,2.8
20,Harbin Institute of Technology,95,2.7
20,IISc Bangalore,31,2.7
22,Beihang University,43,2.6
22,National Institute of Informatics,35,2.6
22,National Taiwan University,38,2.6
25,POSTECH,33,2.5
25,Yonsei University,32,2.5
27,CUHK (SZ),42,2.4
27,KAUST,23,2.4
27,MBZUAI,34,2.4
30,BUPT,63,2.3
30,ShanghaiTech University,32,2.3
30,UESTC,63,2.3
