Rank,University,Faculty Count,Publication Count
1,University of Toronto,40,13.1
2,University of Waterloo,21,5.9
3,Simon Fraser University,26,5.8
4,University of British Columbia,24,5.6
5,McGill University,11,4.3
6,University of Victoria,6,2.4
7,University of Calgary,12,2.2
8,University of Montreal,8,1.9
9,Carleton University,4,1.8
9,University of Alberta,10,1.8
9,University of Manitoba,5,1.8
12,University of Guelph,5,1.6
12,University of Saskatchewan,3,1.6
14,Université Laval,8,1.5
15,Dalhousie University,7,1.4
15,Queen’s University,3,1.4
17,York University,6,1.3
18,Memorial University of Newfoundland,2,1.2
18,University of New Brunswick,1,1.2
18,University of Ottawa,3,1.2
18,Université de Sherbrooke,2,1.2
18,Université du Québec à Montréal,2,1.2
23,Concordia University,1,1.1
23,McMaster University,1,1.1
23,Polytechnique Montreal,1,1.1
26,Brock University,1,1.0
26,Toronto Metropolitan University,1,1.0
