Rank,University,Faculty Count,Publication Count
1,National University of Singapore,10,9.1
2,Nanjing University,10,8.8
3,KAIST,5,8.2
4,Peking University,8,6.3
5,Seoul National University,3,5.9
6,HKUST,5,5.1
7,Tsinghua University,4,4.5
8,National Institute of Informatics,2,3.7
9,University of Tsukuba,1,3.4
10,Shanghai Jiao Tong University,3,3.1
11,IIT Madras,2,2.8
11,Waseda University,1,2.8
13,IISc Bangalore,3,2.7
14,University of Hong Kong,1,2.6
15,Kyoto University,2,2.5
16,POSTECH,2,2.3
16,University of Tokyo,2,2.3
18,Korea University,1,2.0
19,Chinese Academy of Sciences,3,1.9
20,Beihang University,3,1.8
21,IIT Bombay,2,1.6
21,Xiamen University,1,1.6
21,Zhejiang University,1,1.6
24,IIT Hyderabad,1,1.5
24,Nanyang Technological University,2,1.5
24,TeIAS,1,1.5
27,East China Normal University,2,1.4
27,Shenzhen University,1,1.4
29,Chinese University of Hong Kong,1,1.3
29,IIT Delhi,1,1.3
29,Singapore Management University,1,1.3
29,Yonsei University,1,1.3
