Rank,University,Faculty Count,Publication Count
1,UNSW,4,2.2
2,University of Sydney,3,1.8
3,University of Technology Sydney,1,1.5
4,Australian National University,1,1.1
4,RMIT University,1,1.1
4,University of Melbourne,2,1.1
4,University of Otago,1,1.1
