Rank,University,Faculty Count,Publication Count
1,KAIST,10,18.3
2,Shanghai Jiao Tong University,22,16.1
3,Seoul National University,9,14.4
4,Tsinghua University,17,9.4
5,National University of Singapore,10,7.8
6,HUST,11,7.5
7,IISc Bangalore,5,7.0
8,Peking University,12,6.5
9,POSTECH,5,5.0
10,Yonsei University,5,4.6
11,Chinese Academy of Sciences,9,3.2
12,Zhejiang University,9,2.9
13,KMUTNB,1,2.7
13,Renmin University of China,5,2.7
15,IIT Delhi,2,2.6
16,IIT Kanpur,2,2.5
16,Nanyang Technological University,3,2.5
16,Sharif University of Technology,2,2.5
16,Sungkyunkwan University,4,2.5
20,Chinese University of Hong Kong,3,2.4
21,City University of Hong Kong,2,2.3
21,Hunan University,6,2.3
23,IIT Bombay,1,2.2
24,National Taiwan University,3,2.1
25,Beihang University,1,2.0
25,Korea University,1,2.0
25,UNIST,3,2.0
28,IPM,2,1.9
28,University of Macau,4,1.9
30,American University of Beirut,1,1.8
30,Kyungpook National University,2,1.8
30,SUSTech,3,1.8
