Rank,University,Faculty Count,Publication Count
1,Carnegie Mellon University,102,85.4
2,Univ. of Illinois at Urbana-Champaign,64,46.8
3,Cornell University,49,43.7
4,Stanford University,54,38.4
5,University of Maryland - College Park,51,36.7
6,Univ. of California - San Diego,68,36.6
7,Georgia Institute of Technology,84,32.3
8,Univ. of California - Berkeley,62,32.2
9,University of Massachusetts Amherst,41,31.4
9,University of Michigan,54,31.4
11,Univ. of California - Los Angeles,26,29.9
11,University of Washington,48,29.9
13,Massachusetts Institute of Technology,65,29.2
14,Rutgers University,29,25.3
15,New York University,56,24.6
16,University of Pennsylvania,48,24.0
17,University of Southern California,43,23.9
18,University of Texas at Austin,30,22.3
19,Columbia University,36,21.7
20,Northeastern University,54,21.2
21,Johns Hopkins University,27,19.2
22,University of Illinois at Chicago,25,18.7
23,Pennsylvania State University,37,17.0
24,Stony Brook University,38,16.9
25,University of North Carolina,18,16.2
26,Princeton University,35,15.9
27,University of Wisconsin - Madison,42,15.7
28,Purdue University,47,15.1
29,Duke University,30,14.7
30,Arizona State University,32,14.1
30,Univ. of California - Santa Barbara,24,14.1
