Rank,University,Faculty Count,Publication Count
1,Massachusetts Institute of Technology,15,17.2
2,Shanghai Jiao Tong University,15,12.5
3,Univ. of California - Berkeley,14,11.5
4,Carnegie Mellon University,19,10.2
5,University of Wisconsin - Madison,8,9.1
6,University of Washington,8,8.0
7,Columbia University,9,7.9
8,University of Texas at Austin,7,7.3
9,EPFL,7,7.1
10,University of Michigan,7,6.7
11,University of Toronto,9,6.6
12,Tsinghua University,11,6.2
13,ETH Zurich,7,5.5
14,New York University,5,5.3
14,University of Pennsylvania,7,5.3
16,Univ. of Illinois at Urbana-Champaign,8,4.9
17,Georgia Institute of Technology,5,4.8
18,Univ. of California - San Diego,12,4.7
18,University of Chicago,5,4.7
20,Cornell University,7,4.3
20,Princeton University,3,4.3
22,Stanford University,6,4.2
23,Purdue University,7,4.1
24,Pennsylvania State University,8,3.7
25,Peking University,4,3.5
26,Stony Brook University,4,3.3
27,Imperial College London,4,3.1
28,Univ. of California - Los Angeles,5,3.0
29,Harvard University,4,2.9
30,Max Planck Society,6,2.8
30,National University of Singapore,2,2.8
30,University of Waterloo,4,2.8
