Rank,University,Faculty Count,Publication Count
1,UNSW,5,23.7
2,University of Technology Sydney,6,16.4
3,University of Sydney,8,10.8
4,RMIT University,3,6.8
5,University of Auckland,3,4.7
6,Massey University,2,4.1
7,University of Queensland,3,3.5
8,University of Melbourne,4,3.1
9,Monash University,1,1.8
10,Australian National University,1,1.6
11,Macquarie University,1,1.2
