Rank,University,Faculty Count,Publication Count
1,ETH Zurich,5,20.4
2,Univ. of Illinois at Urbana-Champaign,18,16.5
3,North Carolina State University,10,15.5
4,University of Utah,13,14.9
5,Georgia Institute of Technology,15,13.4
6,Ohio State University,12,10.8
7,Univ. of California - Riverside,10,10.6
8,Shanghai Jiao Tong University,19,10.1
9,Tsinghua University,8,9.3
10,Univ. of California - Merced,4,8.9
11,HUST,12,8.7
12,National Cheng Kung University,13,8.5
13,Rice University,2,8.4
14,University of Chicago,7,8.3
15,Northeastern University,4,8.0
16,Purdue University,7,7.7
17,University of Texas at Arlington,7,6.9
18,TU Munich,5,6.8
19,Indiana University,6,6.6
20,Virginia Tech,5,6.5
21,National University of Singapore,5,6.3
22,Illinois Institute of Technology,4,6.0
22,Polytechnic University of Catalonia,5,6.0
24,University of Minnesota,7,5.9
25,University of Georgia,4,5.8
26,National Chiao Tung University,12,5.6
27,Univ. of California - Berkeley,5,5.3
28,University of Maryland - College Park,2,5.2
29,Northwestern University,6,4.9
29,University of Massachusetts Amherst,5,4.9
29,University of Tennessee,2,4.9
