Rank,University,Faculty Count,Publication Count
1,UNSW,19,2.9
2,University of Sydney,15,2.1
3,University of Technology Sydney,10,1.5
4,Australian National University,11,1.4
4,Monash University,11,1.4
4,University of Melbourne,10,1.4
7,Macquarie University,6,1.3
7,University of Adelaide,5,1.3
7,University of Auckland,5,1.3
10,RMIT University,5,1.2
10,University of Queensland,5,1.2
10,University of Waikato,3,1.2
13,Massey University,3,1.1
13,University of Otago,3,1.1
15,University of Canterbury,1,1.0
15,University of Western Australia,1,1.0
15,University of Wollongong,2,1.0
15,Victoria University of Wellington,2,1.0
