rank,institution,rank_AI,rank_Systems,rank_Theory,rank_Interdisciplinary_Areas,rank_Architecture,rank_Network,rank_Database,rank_HPC,rank_metrics,rank_Operating_System,rank_Programming_Language
,Koç University,,,,,,,,20.0,,,
,University of Manchester,,,,,,,,20.0,,,
,University of Innsbruck,,,,,,,,22.0,,,
,University of Leeds,,,,,,,,22.0,,,
,University of Salerno,,,,,,,,30.0,,,
,Brandenburg University of Technology,,,,,,,,,12.0,,
,University of Crete,,,,,,,,,13.0,,
,TU Kaiserslautern,,,,,,,,,21.0,,
,University of Strathclyde,,,,,,,,,21.0,,28.0
,University of Twente,,,,,,,,,29.0,,
,Royal Holloway University of London,,,,,,,,,,18.0,25.0
,TU Braunschweig,,,,,,,,,,18.0,
,University of Osnabrück,,,,,,,,,,18.0,
,University of Freiburg,,,,,,,,,,,23.0
