rank,institution
1,Carnegie Mellon University
2,Univ. of Illinois at Urbana-Champaign
3,Cornell University
4,Stanford University
5,University of Maryland - College Park
6,Univ. of California - San Diego
7,Georgia Institute of Technology
8,Univ. of California - Berkeley
9,University of Massachusetts Amherst
9,University of Michigan
11,Univ. of California - Los Angeles
11,University of Washington
13,Massachusetts Institute of Technology
14,Rutgers University
15,New York University
16,University of Pennsylvania
17,University of Southern California
18,University of Texas at Austin
19,Columbia University
20,Northeastern University
21,Johns Hopkins University
22,University of Illinois at Chicago
23,Pennsylvania State University
24,Stony Brook University
25,University of North Carolina
26,Princeton University
27,University of Wisconsin - Madison
28,Purdue University
29,Duke University
30,Arizona State University
30,Univ. of California - Santa Barbara
