rank,institution
1,TU Munich
2,University of Edinburgh
3,EPFL
4,Aalborg University
5,Hasso Plattner Institute
6,ETH Zurich
7,TU Berlin
8,TU Darmstadt
9,Tel Aviv University
10,University of Warwick
11,University of Mannheim
12,CWI
12,Technion
14,Imperial College London
15,Humboldt University of Berlin
16,University of Oxford
17,University of Ioannina
18,EURECOM
18,Hebrew University of Jerusalem
20,Aarhus University
21,Saarland University
22,TU Dresden
23,University of Amsterdam
24,Bar-Ilan University
25,TU Dortmund
25,University of Copenhagen
25,University of Hannover
25,University of Helsinki
25,University of Salzburg
30,KTH Royal Institute of Technology
30,Sapienza University of Rome
