rank,institution
1,Carnegie Mellon University
2,University of Maryland - College Park
3,Stanford University
4,University of Toronto
5,Georgia Institute of Technology
6,University of Washington
7,Massachusetts Institute of Technology
8,Tsinghua University
9,Univ. of California - San Diego
10,Cornell University
11,Univ. of California - Berkeley
12,ETH Zurich
13,Univ. of Illinois at Urbana-Champaign
14,University of Michigan
15,Northeastern University
16,KAIST
17,Princeton University
18,Peking University
18,University College London
20,Columbia University
20,TU Munich
20,University of Pennsylvania
23,University of Utah
23,University of Waterloo
25,Simon Fraser University
25,Zhejiang University
27,George Mason University
28,University of British Columbia
29,New York University
29,Purdue University
29,University of Tokyo
