rank,institution,rank_AI,rank_Systems,rank_Theory,rank_Interdisciplinary_Areas,rank_Architecture,rank_Network,rank_Database,rank_HPC,rank_metrics,rank_Operating_System,rank_Programming_Language
1,University of Toronto,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0
2,University of Waterloo,2.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,3.0,2.0,2.0
3,University of British Columbia,4.0,3.0,7.0,4.0,2.0,4.0,4.0,1.0,,3.0,3.0
4,Simon Fraser University,6.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0
5,McGill University,7.0,6.0,3.0,5.0,5.0,,9.0,5.0,,,4.0
6,University of Alberta,3.0,14.0,8.0,9.0,,,,6.0,4.0,,7.0
7,University of Montreal,5.0,14.0,9.0,8.0,,,12.0,8.0,,,7.0
8,Carleton University,9.0,6.0,9.0,9.0,,,6.0,6.0,,,
8,University of Victoria,19.0,6.0,6.0,6.0,,,5.0,,,,
10,York University,8.0,6.0,15.0,17.0,,,7.0,,,,
11,University of Calgary,27.0,6.0,9.0,7.0,,,,,2.0,,
12,Concordia University,13.0,5.0,15.0,23.0,,,8.0,,,,6.0
12,University of Guelph,14.0,11.0,15.0,12.0,,,13.0,,,,
12,University of Manitoba,17.0,14.0,15.0,9.0,,,16.0,,,,
12,University of Ottawa,9.0,19.0,12.0,18.0,,,16.0,,,,
12,Université Laval,11.0,,,14.0,,,,,,,
17,Dalhousie University,15.0,11.0,15.0,15.0,,,,,,,
17,Queen’s University,15.0,11.0,,15.0,,,13.0,,,,
19,ETS Montreal,12.0,,,,,,,,,,
19,Université de Sherbrooke,24.0,,4.0,18.0,,,,,,,
21,McMaster University,19.0,14.0,,23.0,,,10.0,,,,
21,Memorial University of Newfoundland,,,12.0,18.0,,,,,,,
21,Polytechnique Montreal,19.0,19.0,,23.0,,,,,,,
21,Toronto Metropolitan University,24.0,,,26.0,,,,,,,
21,University of New Brunswick,26.0,,,18.0,,,,,,,
21,University of Regina,23.0,19.0,,,,,,,,,
21,University of Saskatchewan,29.0,14.0,,12.0,,,,,,,
21,Université du Québec à Montréal,19.0,19.0,15.0,18.0,,,13.0,,,,
21,Western University,18.0,19.0,,,,,10.0,,,,
30,Brock University,28.0,,,26.0,,,,,,,
30,Ontario Tech University,,19.0,,,,,,,,,
30,University of Windsor,,,12.0,,,,,,,,
