rank,institution
1,University of Waterloo
2,Simon Fraser University
3,University of Toronto
4,University of British Columbia
5,University of Victoria
6,Carleton University
7,York University
8,Concordia University
9,McGill University
10,McMaster University
10,Western University
12,University of Montreal
13,Queen’s University
13,University of Guelph
13,Université du Québec à Montréal
16,University of Manitoba
16,University of Ottawa
